,titre,ingredients,url
0,Gâteau des abeilles de Litha,"2 œufs, 100 g de sucre, 150 g de farine, 1 sachet de levure, 1 pincée de sel, 5 c. à soupe de miel d’acacia, un peu de lait, un peu d’huile neutre, un peu de beurre, un peu de sucre glace",https://www.cuisine-libre.org/gateau-au-miel-de-litha
1,Gâteau irlandais de la Toussaint,"220 g de farine, 15 g de levure de boulanger, 5 cl de lait tiède, 50 g de beurre, 40 g de sucre brun, 1 œuf, 150 g de raisins secs de Corinthe et de Smyrne, 25 g d’écorces d’oranges confites, 1 pincée de cannelle, 1 pincée de muscade, 2 pincées de sel, un peu de beurre fondu",https://www.cuisine-libre.org/gateau-irlandais-de-la-toussaint
2,Gâteau de Pentecôte,"1 génoise, 350 g de crème semi-épaisse entière, 45 g de sucre glace, 15 fraises",https://www.cuisine-libre.org/gateau-de-pentecote
3,Gâteau au chocolat granuleux,"125 g de chocolat à pâtisserie noir, 120 g de farine blanche, 70 g de sucre (pas trop fin), 100 g de beurre, 1 demi sachet de levure chimique, 1 œuf, 1 bonne pincée de sel (si le beurre est doux)",https://www.cuisine-libre.org/gateau-au-chocolat-granuleux
4,Lammele,"4 œufs, 120 g de sucre, 120 g de farine, 20 g de fécule, 50 g de beurre, 1 gousse de vanille, sucre glace",https://www.cuisine-libre.org/lammele
5,Gâteau de St Phanourios (Fanouropita),"1 tasse de jus d’orange, 2 c. à soupe de beurre, ½ c. à café de sel, 2 tasses de raisins secs de Corinthe, ¾ de tasse de sucre, ½ tasse de miel, 1 c. à soupe de cannelle moulue, ½ c. à café de clous de girofle moulu, 2 tasses de farine, 2 c. à soupe de levure, ½ c. à café de bicarbonate de soude, 2 c. à soupe d’écorces d’orange râpées, graines de sésame",https://www.cuisine-libre.org/gateau-de-st-phanourios-fanouropita
6,Biscuits de la joie,"90 g de beurre, 70 g de sucre roux, 35 g de miel, 2 jaunes d’œufs, 250 g de farine de petit (ou grand) épeautre bio, 6 g de noix de muscade, 6 g de cannelle, 24 clous de girofle",https://www.cuisine-libre.org/biscuits-de-la-joie
7,Tartelettes aux myrtilles,"400 g de myrtilles fraîches voire surgelées ou encore en conserve, 250 g de farine, 125 g de beurre, 100 g de sucre, 1 œuf, 50 cl de lait, 3 œufs, 100 g de sucre, 50 g de farine, 1 cuillère à café de sucre vanillé",https://www.cuisine-libre.org/tartelettes-aux-myrtilles
8,Biscuits sablés,"250 g de farine, 125 g de beurre ramolli, 125 g de sucre fin, 1 œuf entier",https://www.cuisine-libre.org/biscuits-sables
9,Macarons d’Amiens,"200 g d’amandes douces, 200 g de sucre en poudre, 3 à 4 blancs d’œufs, 3 bonnes cuillerées de gelée de pommes ou d’abricots",https://www.cuisine-libre.org/macarons-d-amiens
10,Gâteau au chocolat sans beurre,"200 g de chocolat noir à dessert, 2 ou 3 œufs, 200 à 300 g de compote de pommes, 50 g de farine de blé, 1 sachet de levure, 100 g de sucre",https://www.cuisine-libre.org/gateau-au-chocolat-sans-beurre
11,Tronco di bosco (bûche au chocolat),"250 g de beurre, 50 g d’amandes, 70 g de sucre glace, 2 jaunes d’œufs, 100 g de cacao amer, 150 g de biscuits à la cuillère (boudoirs), 5 cuillères à soupe de rhum",https://www.cuisine-libre.org/tronco-di-bosco-buche-au-chocolat
12,Macarons caroube noisette,"2 œufs séparés, 185 g de sucre en poudre, 2 cuil. à soupe de caroube en poudre, 250 g de noix de coco râpée, 60 g de noisettes hachées, 100 g de caroube fondu",https://www.cuisine-libre.org/macarons-caroube-noisette
13,Galette des rois à la mandarine,"2 rouleaux de pâte feuilletée, 2 mandarines, 100 g de sucre en poudre, 50 g de beurre, 80 g de poudre d’amande, 2 œufs + 1 jaune pour la pâte",https://www.cuisine-libre.org/galette-des-rois-a-la-mandarine
14,Gâteau de Carême (pitta nistissimi),"3 tasses de farine tout usage, ½ tasse de poudre d’amandes, 2 c. à café de poudre à lever, 1 c. à café de bicarbonate de soude, 1 tasse de jus d’orange, zeste d’orange râpé, 1 c. à café de cannelle, ¼ c. à café de girofle moulue, ¾ de tasse d’huile d’olive tiède, 1 tasse de sucre, ½ tasse de raisins de Corinthe, ½ tasse de raisins de Smyrne, ½ tasse de noix hachées, ½ tasse d’Ouzo (facultatif), éclaboussure d’eau de rose, sucre glace",https://www.cuisine-libre.org/gateau-de-careme-pitta-nistissimi
15,Galette au chocolat et au thé,"800 g de pâte feuilletée, 15 cl de crème fraîche liquide, 1 ou 2 sachets de thé Earl Grey à la bergamote, 150 g de chocolat noir - en tablette, 20 g de sucre en poudre, 20 g de beurre, 1 jaune d’œuf pour dorer, 1 cuillère à soupe de sucre glace",https://www.cuisine-libre.org/galette-au-chocolat-et-au-the
16,Kastell du,"4 œufs, 170 g de farine de sarrasin, 250 g de sucre en poudre, 80 g de farine de froment, 250 g de beurre ½ sel, 1 sachet de levure, sel",https://www.cuisine-libre.org/kastell-du
17,Quatre-quarts,"4 œufs, 200 g de farine T55, 200 g de sucre en poudre, 200 g de beurre doux, 5 g de levure chimique (½ sachet), arôme vanille (facultatif)",https://www.cuisine-libre.org/quatre-quarts
18,Muffins végés cacao-noisette,"200 g farine, 40 g fécule de pomme de terre, 150 g sucre, 2 sachets de sucre vanillé, 1 sachet de levure, 30 g cacao, 50 g noisettes (en poudre), 120 g margarine fondue, 100 g lait végétal, 100 g compote",https://www.cuisine-libre.org/muffins-veges-cacao-noisette
19,Briochettes croisées (hot cross buns),"400 g de farine, 1 sachet (7 g) de levure boulanger, 50 g de sucre, 1 c. café de sel fin, 1 c. café quatre-épices, 1 c. café de cannelle, 25 cl de lait tiède, 1 œuf battu, 50 g de beurre fondu, 100 g de raisins secs (ou myrtilles ou cranberries séchées), 25 g de farine, ½ c. café de sucre, 2-3 c. soupe d’eau tiède",https://www.cuisine-libre.org/briochettes-croisees-hot-cross-buns
20,Galette des rois vosgienne,"125 g de beurre, 250 g de sucre en poudre, 1 œuf, 125 g de poudre d’amandes, 250 g de farine, 150 g de confiture d’abricots, 150 g de gelée de groseilles ou de myrtilles",https://www.cuisine-libre.org/galette-des-rois-vosgienne
21,Le « véritable » pain d’épices,"200 g de farine - tamisée, 200 g de farine de seigle - tamisée, 1 sachet de levure chimique, 200 g de miel crémeux - blanc, 50 g de sucre roux en poudre, 20 cl de lait, 1 cuillère à café d’anis en poudre, 1 cuillère à café de cannelle, 1 cuillère à café de gingembre, 1 pincée de noix de muscade, 1 pincée de clou de girofle en poudre, 100 g de zeste de citron et d’orange ou de gingembre confit (facultatif), 1 cuillère à soupe d’amandes effilées (facultatif)",https://www.cuisine-libre.org/le-veritable-pain-d-epices
22,Pain d’épices au citron,"125 g de farine de seigle, 10 g de levure chimique, 125 g de miel, 6 cl de lait, 2 œufs, 30 g d’écorces de citron confit, 3 pincées de cannelle, 1 pincée de poudre d’anis, 1 pincée de muscade râpée, 1 pincée de clous de girofle - moulue",https://www.cuisine-libre.org/pain-d-epices-au-citron
23,Serpent du couvent,"6 œufs entiers, 125 g de sucre semoule, 125 g de beurre fondu, 1 citron bio non traité (zeste et jus), 2 cl d’extrait de vanille, 1 c. à café de miel, 5 g de levure chimique, 400 g de farine, 250 g d’amandes effilées, 2 raisins secs, 1 jaune d’œuf",https://www.cuisine-libre.org/serpent-du-couvent
24,Gâteau de potiron sucré,"450 g de potiron, 120 g de beurre demi-sel fondu + un peu pour le moule, 1 gousse de vanille, 200 g de cassonade, 4 œufs, 10 cl de jus d’orange pressée, 300 g de farine, 1 sachet de levure, 1 cuillère à café de cannelle, 1 cuillère à café de gingembre en poudre, sucre glace - facultativement",https://www.cuisine-libre.org/gateau-de-potiron-sucre
25,Gâteau de patates douces,"1 kg de patates douces, 60 g de beurre, 10 cl de lait, 2 blancs d’œufs, 2 cuillerées à café de fécule de pomme de terre, 1 sachet de sucre vanillé, 1 cuillerée à café de cannelle en poudre, 10 cl de rhum, 1 pincée de sel fin",https://www.cuisine-libre.org/gateau-de-patates-douces
26,Marbré aux noix,"1 tasse farine (250 g), 1 tasse de poudre de noix, 1 tasse de sucre, 1 tasse d’huile, 1 sachet de levure chimique, 4 cuillères à café de cacao en poudre, 1 pincée de sel, 1 citron (jus et zeste)",https://www.cuisine-libre.org/marbre-aux-noix
27,Barm Brack (pain moucheté irlandais),"225 g de farine tamisée, 15 cl de lait tiède, 50 g de sucre semoule, 4 g de levure de boulanger déshydratée, 1 œuf, 30 g de beurre mou, 1 grosse pincée de muscade, 1 grosse pincée de cannelle, 100 g de raisins secs, 30 g de fruits confits, 50 ml de whiskey Bushmills (facultatif), du thé irlandais (Barry’s Tea), 1 citron, jus et zeste, des fèves [*], 1 c. à soupe de beurre, 1 c. à café de cannelle, ½ c. à café de mélange d’épices",https://www.cuisine-libre.org/barmbrack-pain-brioche-irlandais
28,Gaufres de Liège,"1 kg de farine, 70 g de levure fraîche, 3 œufs, 100 g de sucre, 1 pincée de sel, du lait tiède, 250 g de beurre, 75 g de saindoux, vergeoise brune",https://www.cuisine-libre.org/gaufres-de-liege
29,Cornuelles,"500 g de farine, 250 g de beurre mou, 240 g de sucre en poudre, 3 œufs, ½ sachet de levure chimique, 1 c. à soupe de Pastis (ou autre alcool anisé), 1 c. à soupe d’extrait de vanille, 60 g de graines d’anisou de petites perles de sucres à l’anis rouges et blanches, 1 jaune d’œuf, 1 c. à soupe de lait",https://www.cuisine-libre.org/cornuelles
30,Truffes au chocolat,"250 g de chocolat noir amer [*] : Van Houten par ex., 125 g de sucre glace, 100 g de beurre, 1 cuillère à soupe de lait, 2 jaunes d’œufs, 5 cl de crème fraîche, 50 g de poudre de cacao, non sucrée",https://www.cuisine-libre.org/truffes-au-chocolat
31,Galette aux dattes,"600 g de pâte feuilletée(2 pâtons de 300 g), 150 g de dattes, 4 cuillères à soupe de rhum ambré, 25 cl de lait, 1 œuf+ 2 jaunes, 50 g de sucre en poudre, 20 g de Maïzena, 20 g de beurre, 1 cuillère à soupe de sucre glace",https://www.cuisine-libre.org/galette-aux-dattes
32,Galette des rois aux cerises amarena,"2 cercles de pâte feuilletée pré-étalée, 2 œufs entiers, 125 g de poudre d’amandes, 90 g de sucre semoule, 100 g de beurre mou, 1 jaune d’œuf délayé avec quelques gouttes d’eau, sucre glace, 200 g de cerises amarena, 1 fève",https://www.cuisine-libre.org/galette-des-rois-aux-cerises-amarena
33,Galette à la confiture de lait,"600 g de pâte feuilletée (2 pains de 300 g à étaler), 1/2 pot de confiture de lait, 1 œuf, 1 cuillère ä soupe de sucre en grains",https://www.cuisine-libre.org/galette-a-la-confiture-de-lait
34,Sablés œufs de Pâques,"200 g de farine, 50 g d’amandes en poudre, 100 g de beurre doux mou, 70 g de sucre glace, 1 gros œuf battu, 1 pincée de sel, 1 citron pressé et zesté, 4 c. soupe de lemon curd (crème au citron) ou de confiture d’orange",https://www.cuisine-libre.org/sables-oeufs-de-paques
35,Mersu,"2 tasses de dattes dénoyautées, 2 tasses de pistaches décortiquées",https://www.cuisine-libre.org/mersu
36,Gâteaux des Saints (Bolinhos dos Santos),"600 g de farine, 100 g de sucre, 1 cuillère à café de graines d’aneth moulues, 1 cuillère à café de cannelle, 100 g de beurre ramolli, 1 cuillère à soupe de miel, 2 œufs + 1 œuf battu, 30 g de levure de boulanger, 1,5 dl de lait tiède, 1,2 dl d’huile d’olive vierge extra, 50 g d’amandes effilées, 100 g de raisins secs, 50 g de noix hachées",https://www.cuisine-libre.org/gateaux-des-saints-bolinhos-dos-santos
37,Meringues fantômes,"3 blancs d’œufs (= 100 g), 100 g de sucre glace, 100 g de sucre blanc, 2 carrés de chocolat noir",https://www.cuisine-libre.org/meringues-fantomes
38,Galette fourrée à la mandarine,"500 g de pâte feuilletée (en 2 pains à étaler), 4 à 6 mandarines, 4 œufs, 180 g de sucre en poudre, 2 cuillères à soupe de maïzena, 5 cl de liqueur de mandarine, 50 g de beurre, sucre glace",https://www.cuisine-libre.org/galette-fourree-a-la-mandarine
